Key (Decoded),Value (Decoded)
This saves the following actions that you have currently assigned to a new preset:,"Hierdurch werden die folgenden Aktionen gespeichert, die Sie aktuell einer neuen Voreinstellung zugewiesen haben:"
Brush size +,Pinselgröße +
Other,Sonstiges
WACOM_CENTER_REGISTER_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/register-device?wcLang=de&regMethod=%s
Packaging...,Dateien werden komprimiert …
Restore,Wiederherstellen
4001:01:00,Stiftbedienung anpassen
OS13_LEGACY_LINK_MSG,"Wacom Tablett sollte sich jetzt öffnen, aber aufgrund eines Problems mit macOS 13 müssen Sie „Wacom Tablett“ möglicherweise manuell in „Sie die Systemeinstellungen“ öffnen."
wacom bridge,Wacom Bridge
WACOM_CENTER_PROFILE_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/profile?wcLang=de
Use Wacom Center to configure Display toggle.,"Verwenden Sie das Wacom Center, um den Displaywechsel zu konfigurieren."
More info,Weitere Informationen
Displays dynamic tablet and tool diagnostics information.,Zeigt dynamische Informationen zur Tablett- und Werkzeugdiagnose an.
Language,5
4001:71,Rocker Ring-Einstellungen
Touch firmware:,Touch-Firmware:
Overwrite the existing Preset Settings Group item by this name?,Das vorhandene Element der Voreinstellungsgruppe mit diesem Namen überschreiben?
"This feature optimizes your Wacom experience when connected to a remote computer. Your Wacom driver automatically connects to the Wacom driver on the remote system, and your Wacom device settings apply both on your local and remote system.","Diese Funktion optimiert Ihr Wacom-Erlebnis bei einer Verbindung zu einem entfernten Computer. Ihr Wacom-Treiber verbindet sich automatisch mit dem Wacom-Treiber auf dem entfernten System, und Ihre Wacom-Geräteeinstellungen wirken sowohl auf Ihrem lokalen als auch auf dem entfernten System."
Create a new preset,Neue Voreinstellung erstellen
Learn more,Weitere Infos
3001:10:00,Maus
We've modernized our settings application. From here you can configure all the functionality of your Wacom devices as well as access your Wacom ID benefits.,Wir haben unsere Einstellungsanwendung modernisiert. Von hier aus können Sie alle Funktionen Ihrer Wacom Geräte konfigurieren und auf die Vorteile Ihrer Wacom ID zugreifen.
Display toggle is recommended for multi-screen setups.,Der Displaywechsel wird für Installationen mit mehreren Bildschirmen empfohlen.
Import settings from your %s.,Importieren Sie Einstellungen von Ihrem %s.
4001:20:00,Passen Sie die Funktionen der ExpressKeys an
Include or exclude this display in the Display toggle cycle.,Include or exclude this display in the Display toggle cycle.
WACOM_CENTER_DEVPAGE_EDU_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/product-videos?wcLang=de&regMethod=%s&feedback=true
3090:03:00,Drei
Nudging,Anstupsen
Standard,Standard
Import settings,Einstellungen importieren
4001:121,Benutzerhilfe
Toggle Last State,Wechseln zum letzten Status
Selective,Selektiv
SubCPU firmware:,SubCPU Firmware:
Scroll,Scrollen
Change Display Settings,Bildschirmeinstellungen ändern
Click lock,Klick-Verriegelung
Rotation:,Drehung:
3001:07:00,Alle geöffnet
Control the speed of this Dial mode.,Steuern Sie die Geschwindigkeit dieses Einstellrad-Modus.
this feature is available for select remote computing systems. it is subject to wacom's commercial agreements with the remote system provider and remote system specific licensing and/or subscription requirements.,Diese Funktion ist für ausgewählte Remote-Computing-Systeme verfügbar. Für sie gelten die Vereinbarungen zwischen Wacom und dem Anbieter des Remote-Systems und die für das Remote-System geltenden besonderen Lizenz- und/oder Abonnementbedingungen.
WACOM_CENTER_REGISTER_WEBVIEW,https://www.wacom.com/wacom-center/register-device?wcLang=de&regMethod=%s
Adjusting display settings,Anpassen der Anzeigeeinstellungen
"Step 2 - Use the ExpressKeys on either side to select ""Display Settings"", navigate menus, and select options.","Schritt 2 - Verwenden Sie die ExpressKeys auf der jeweiligen Seite, um “Anzeigeeinstellungen“ auszuwählen, durch die Menüs zu navigieren und Optionen auszuwählen."
