Key (Decoded),Value (Decoded)
This saves the following actions that you have currently assigned to a new preset:,Esto guarda las siguientes acciones que ha asignado actualmente a un nuevo valor preestablecido:
Brush size +,Tamaño de pincel +
Other,Otros
WACOM_CENTER_REGISTER_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/register-device?wcLang=es&regMethod=%s
Packaging...,Empaquetando…
Restore,Restaurar
4001:01:00,Personalizar cómo funciona el lápiz
OS13_LEGACY_LINK_MSG,"Tableta Wacom debería abrirse ahora, pero debido a un problema con macOS 13, es posible que deba abrir manualmente 'Tableta Wacom' en 'Preferencias del Sistema…'."
wacom bridge,Wacom Bridge
WACOM_CENTER_PROFILE_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/profile?wcLang=es
Use Wacom Center to configure Display toggle.,Utilice Wacom Center para configurar el cambio de pantalla.
More info,Más información
Displays dynamic tablet and tool diagnostics information.,Muestra información dinámica de la tableta y del diagnóstico de la herramienta.
Language,9
4001:71,Ajustes del Rocker Ring
Touch firmware:,Firmware táctil:
Overwrite the existing Preset Settings Group item by this name?,¿Sobrescribir el elemento existente del grupo de ajustes preestablecidos con este nombre?
"This feature optimizes your Wacom experience when connected to a remote computer. Your Wacom driver automatically connects to the Wacom driver on the remote system, and your Wacom device settings apply both on your local and remote system.",Esta función optimiza su experiencia con Wacom cuando está conectado a un ordenador remoto. Su controlador de Wacom se conecta automáticamente al controlador de Wacom en el sistema remoto y la configuración de su dispositivo Wacom se aplica tanto en su sistema local como en el remoto.
Create a new preset,Crear un nuevo valor preestablecido
Learn more,Más información
3001:10:00,Ratón
We've modernized our settings application. From here you can configure all the functionality of your Wacom devices as well as access your Wacom ID benefits.,"Hemos modernizado nuestra aplicación de ajustes. Desde aquí puede configurar todas las funciones de sus dispositivos Wacom, así como acceder a las ventajas de su Wacom ID."
Display toggle is recommended for multi-screen setups.,El cambio de pantalla se recomienda para configuraciones multipantalla.
Import settings from your %s.,Importe ajustes de su %s.
4001:20:00,Personalizar las funciones de las teclas ExpressKey
Include or exclude this display in the Display toggle cycle.,Include or exclude this display in the Display toggle cycle.
WACOM_CENTER_DEVPAGE_EDU_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/product-videos?wcLang=es&regMethod=%s&feedback=true
3090:03:00,Tres
Nudging,Golpeos con pulgar
Standard,Estándar
Import settings,Importar ajustes
4001:121,Ayuda del usuario
Toggle Last State,Cambiar último estado
Selective,Selectivo
Scroll,Desplazar
Change Display Settings,Cambiar configuración de display
Click lock,Bloqueo de clic
Rotation:,Rotación:
3001:07:00,Todo abierto
Control the speed of this Dial mode.,Controle la velocidad de este modo de la rueda de ajuste.
this feature is available for select remote computing systems. it is subject to wacom's commercial agreements with the remote system provider and remote system specific licensing and/or subscription requirements.,Esta función está disponible para determinados sistemas informáticos remotos. Está sujeto a los acuerdos comerciales de Wacom con el proveedor del sistema remoto y los requisitos de licencia y/o suscripción específicos del sistema remoto.
WACOM_CENTER_REGISTER_WEBVIEW,https://www.wacom.com/wacom-center/register-device?wcLang=es&regMethod=%s
Adjusting display settings,Establecer ajustes de pantalla
"Step 2 - Use the ExpressKeys on either side to select ""Display Settings"", navigate menus, and select options.","Paso 2: utilice las teclas ExpressKey de ambos lados para seleccionar «Ajustes de pantallas», navegar por los menús y seleccionar opciones."
Use as a scroll wheel with optional modifier keys.,Utilícela como rueda de desplazamiento con teclas modificadoras opcionales.
Spread,Spread
Output,Salida
Simple touch control,Control táctil sencillo
3110:03:00,Activar modo de ahorro de energía: %d minutos
Name your backup,Dar nombre a su copia de seguridad
Test area,Área de prueba
Driver update,Actualización del controlador
"Customize touch gestures, or limit touch input to On-screen shortcut menus.",Personalizar los gestos táctiles o limitar la entrada táctil a los menús de acceso directo en pantalla.
Confirm,Confirmar
"Make sure your Wacom product is connected to your computer, then start the check.","Asegúrese de que su producto Wacom esté conectado a su ordenador y, a continuación, inicie la comprobación."
High,Alta
Tablet buttons and Touch keys,Botones de tableta y teclas táctiles
Dials,Ruedas de ajuste
Show/hide all panels except toolbar,Mostrar/ocultar todas las paletas excepto la barra de herramientas
"Scroll or zoom, depending on the application.","Desplácese o haga zoom, según la aplicación."
Create from current,Crear a partir de actual
4001:101,Información importante sobre el producto
"Customize 3-, 4-, and 5-finger touch gestures.","Personalizar los gestos táctiles de 3, 4 y 5 dedos."
Up,Arriba
Brush tool,herramienta Pincel
Go back one page.,Retroceder una página.
Photoshop Colorist,Colorear con Photoshop
Rename,Camb. nombre
all wacom bridge licenses are in use. contact your wacom bridge administrator to obtain more licenses for your company.,Todas las licencias de Wacom Bridge están en uso. Póngase en contacto con el administrador de Wacom Bridge para obtener más licencias para su empresa.
Register my device,Registrar dispositivo
5th click,5° clic (adelante)
Driver Info:,Información controlador:
Power & Menu,Encendido y Menú
3001:11:00,Lápiz
Firm,Firme
Finger 2,Finger 2
4001:21:00,Ajustes de las teclas ExpressKey
Settings for your %s have been applied.,Se han aplicado los ajustes para su dispositivo %s.
Keyboard shortcut,Combinación de teclas
"Assign Display toggle to a button, touch gesture, or On-screen shortcut to use it.","Asigne el cambio de pantalla a un botón, gesto táctil o accesos directos en pantalla para utilizarlo."
1380:01:00,Horizontal
Adjust the alignment between the pen and screen cursor.,Ajuste la alineación entre el lápiz y el cursor de la pantalla.
Slow,Lento
Wacom,Wacom
The tablet driver is not responding.,La tableta no responde.
Access the settings for your %s.,Acceder a la configuración de su dispositivo %s.
2. Press and hold the Power/Bluetooth button until the light starts blinking and the tablet is in pairing mode.,2. Mantenga pulsado el botón Encendido/Bluetooth hasta que la luz empiece a parpadear y la tableta esté en modo de emparejamiento.
Pan/Scroll (legacy)...,Desplazar (legado)…
Model:,Modelo:
the wacom bridge license has expired. contact your wacom bridge administrator to update the license for your company and/or your wacom driver version.,La licencia de Wacom Bridge ha caducado. Póngase en contacto con el administrador de Wacom Bridge para actualizar la licencia de su empresa y/o la versión del controlador de Wacom.
Forward,Adelante
"Assign Display toggle to a button, gesture or On-screen shortcut to use it.","Assign Display toggle to a button, gesture or On-screen shortcut to use it."
Horizontal wheel,rueda horizontal
Orientation:,Orientación:
Connected via USB,Conectado por USB
Using the Touch keys,Uso de las teclas táctiles
Bonus Pack,Bonus Pack
Pen pressure,Presión del lápiz
Swipe up,Deslizar hacia arriba
licensing & subscription information,Licencia e información de suscripción
Brush tools,Herramientas de pincel
Downloading updates,Descargando actualizaciones
Adjust brightness and color settings for the display.,Ajustar el brillo y el color de la pantalla.
4001:160,Configuración de proyección
Double click,Doble clic
Tip-up assist,Asistencia al levantar la punta
All applications,Todas las aplicaciones
"""Display toggle"" recommended","""Display toggle"" recommended"
4001:131,Conexión por Bluetooth
A collection of videos to help you get started and learn more about your device.,Una colección de vídeos que le ayudarán a empezar y a conocer mejor su dispositivo.
Name,Nombre
"Errors found. To resolve the errors, try the following:","Se han encontrado errores. Para subsanar los errores, intente lo siguiente:"
"for up-to-date details about functionality and licenses or subscription requirements for your remote system, or to sign up for email updates about this service, visit the wacom webpage at https://www.wacom.com/enterprise/creative-enterprise/wacom-bridge or by selecting more info.","Para obtener detalles actualizados sobre la funcionalidad y las licencias o los requisitos de suscripción para su sistema remoto, o para registrarse para recibir actualizaciones por correo electrónico sobre este servicio, visite la página web de Wacom en https://www.wacom.com/enterprise/creative-enterprise/wacom-bridge o seleccione Más información."
"The Touch ring can be used to Scroll, Rotate, Zoom, and more.","Touch Ring se puede utilizar para desplazarse, girar y ampliar, entre otras cosas."
Pan/Scroll...,Desplazar…
Fast,Rápido
Touch setup,Configuración de la función táctil
Open Wacom Display Settings to customize the color and other settings of your Wacom display. Wacom recommends using one of the factory calibrated color spaces to ensure your display closely matches standard color representations.,"Open Wacom Display Settings to customize the color and other settings of your Wacom display. Wacom recommends using one of the factory calibrated color spaces to ensure your display closely matches standard color representations.""
""Open/Run"" = ""Open/Run"
3001:16:00,Lápiz
We detected a Wacom device that is not supported by this driver.,Hemos detectado un dispositivo Wacom que no es compatible con este controlador.
4001:92,Abre los tutoriales de Wacom en su navegador.
WACOM_CENTER_PROFILE_WEBVIEW,https://www.wacom.com/wacom-center/profile?wcLang=es
WACOM_CENTER_OSCPAGE_EDU_WEBVIEW,https://www.wacom.com/wacom-center/oss-videos?collection=oss?wcLang=es&feedback=true
"To connect via Bluetooth, make sure the pen tablet is charged, then disconnect the cable.","Para conectarse a través de Bluetooth, asegúrese de que la pen tablet esté cargada y desconecte el cable."
Tablet orientation,Orientación de la tableta
Numbers even,Números pares
Zoom,Zoom
"Do you want to delete your On-screen shortcut ""%s""?","¿Desea eliminar su acceso directo en pantalla ""%s""?"
Touch: On,Función táctil: On
Wacom Center,Wacom Center
4001:140,Descubra cómo conectar este dispositivo a su ordenador
Touch,Touch
4001:60,Cambiar las funciones táctiles
Are you sure you want to remove the settings for %s?,¿Seguro que desea eliminar los ajustes para %s?
Cut,Cortar
opens your default browser to a wacom bridge service provider support page for your wacom bridge.,Abre su navegador por defecto en la página de soporte técnico de un proveedor de Wacom Bridge para su Wacom Bridge.
"from time to time, customers may be required to upgrade to the latest driver, for example when the preview period ends or when features or license/subscription requirements are updated.","De vez en cuando, es posible que se solicite a los clientes que actualicen al controlador más reciente, por ejemplo, cuando finaliza el periodo de vista previa o cuando se actualizan las funciones o los requisitos de licencia/suscripción."
Opens your default browser to a third party website.,Abre su navegador por defecto en el sitio web de un tercero.
Edge swipe,Deslizar desde el borde
Frequently used,Utilizados con frecuencia
Get bundled software,Obtener software incluido
Data Rate:,Indice de Datos:
WACOM_CENTER_OSCPAGE_EDU_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/oss-videos?collection=oss?wcLang=es&feedback=true
find more advanced settings for display toggle here.,Encuentre configuraciones más avanzadas para Cambiar pantalla aquí.
4001:111,Tutoriales
Presets,Valores preestablecidos
Scroll down,Desplazarse hacia abajo
Step 3 - Press the Menu button to close the built-in menu.,Paso 3: pulse el botón Menú para cerrar el menú integrado.
Stamp all visible layers,Combinar todas las capas visibles en una nueva
4001:02:00,Ajustes del lápiz
Next,Siguiente
"Display toggle is recommended for multi-screen setups. It does not change what you see on your pen display, only where your cursor navigates.","El cambio de pantalla se recomienda para configuraciones multipantalla. No cambia lo que ve en el monitor interactivo, solo por dónde navega el cursor."
Auto Scroll/Zoom,Desplazamiento/zoom autom.
4001:162,Selected Display Tablet
(remote),(Remoto)
Right click,Clic con el botón derecho
Firmware update,Actualización de firmware
Customize how your tablet’s active area maps to your display(s).,Personalice cómo el área activa de su tableta se corresponde con su(s) dispositivo(s).
confirm that the wacom bridge feature is turned on for your client software. see the wacom bridge documentation for your client software.,Confirme que la función Wacom Bridge está activada en el software cliente. Consulte la documentación de Wacom Bridge para el software cliente.
4001:167,Pantalla
Large,Tamaño grande
"The touch function is entirely disabled, including the touch gestures.","La función táctil está completamente deshabilitada, incluido los gestos táctiles."
"Access updates, general settings, back ups and troubleshooting options.","Acceder a las actualizaciones, la configuración general, las copias de seguridad y las opciones de solución de problemas."
Num,Num
Click for Bluetooth instructions,Haga clic para las instrucciones de Bluetooth
Pan/Scroll,Desplazar
Please update your driver,"Por favor, actualice su controlador"
Save,Guardar
Undo,Deshacer
Switches between the Dial modes.,Cambia entre los modos de la rueda de ajuste.
Connect a device to see its settings here.,Conectar un dispositivo para ver sus ajustes aquí.
Duplicate,Duplicar
3001:17:00,Lápiz
Reset all settings,Restablecer todos los ajustes
4001:93,Abre la Ayuda del usuario de su dispositivo Wacom en su navegador.
New,Nuevo
3001:08:00,Cerrado
Pen gestures,Movimientos del lápiz
WEBVIEW_ERROR_HEADER,Se ha producido un error al conectarse con el servidor web
Not now,Ahora no
4001:142,Función táctil: On
Your Wacom device is no longer supported by this driver.,Su dispositivo Wacom ya no es compatible con este controlador.
Natural,Natural
"Customize Grid panels, Radial menus and Pen gestures.","Personalizar los paneles de la cuadrícula, los menús radiales y los movimientos del lápiz."
All Buttons Open,Todos los botones abiertos
